pt,Overall,Serious,Non-serious
Off label use,0.013122537158810954,0.01203265801904189,0.02545864596434922
Fatigue,0.008899454907286709,0.00845380200764626,0.013943704731751745
Pain,0.008699655059205008,0.008550553736005724,0.010387301036561564
Drug ineffective,0.008499855211123307,0.007966211614230742,0.01454005291234766
Dyspnoea,0.007611758089033277,0.0076577556089659155,
Nausea,0.007522860359270053,0.007211356545446011,0.011048705382313397
Headache,0.007471810177821865,0.006849256017526432,0.014518367523962353
Rash,0.007350345952996866,0.007232431179346093,0.008684998048315046
Vomiting,0.007134702945155382,0.0071529223332685125,
Pyrexia,0.007035243108885636,0.007142385016318472,
Arthralgia,,,0.012577525263477468
Diarrhoea,,,0.01011623368174524
Product dose omission issue,,,0.00909702042763586
